,0
11757.G440883108,48634.0
11757.G440205381,48633.0
11757.G440305600,48627.0
11757.G441424562,48625.0
11757.G440305045,48603.0
11757.G441424226,48596.0
11757.G440104002,48592.0
11757.G440282133,48586.0
11757.G440883017,48544.0
11757.G445224594,48523.0
11757.G441502522,48521.0
11757.G440981514,48517.0
11757.G440606147,48511.0
11757.G440305210,48507.0
11757.G445224208,48501.0
11757.G441802073,48496.0
11757.G440282459,48485.0
11757.G440282026,48477.0
11757.G445224578,48468.0
11757.G441284135,48448.0
11757.G441502530,48443.0
11757.G441802511,48443.0
11757.G445302131,48434.0
11757.G445224222,48431.0
11757.G440606033,48430.0
11757.G441802418,48427.0
11757.G440104565,48426.0
11757.G440883126,48407.0
11757.G440606311,48393.0
11757.G440305590,48391.0
11757.G440305490,48389.0
11757.G440282078,48382.0
11757.G440205154,48369.0
11757.G440883513,48365.0
11757.G441284352,48362.0
11757.G440981102,48329.0
11757.G445302163,48328.0
11757.G440883565,48316.0
11757.G441802006,48307.0
11757.G441802634,48303.0
11757.G440282156,48302.0
11757.G440104561,48267.0
11757.G441802410,48260.0
11757.G440883183,48244.0
11757.G440981185,48233.0
11757.G440205647,48231.0
11757.G445302069,48206.0
11757.G445302062,48204.0
11757.G445302207,48166.0
11757.G445302447,48136.0
11757.G440104596,48135.0
11757.G440104509,48124.0
11757.G440305084,48121.0
11757.G441802070,48109.0
11757.G440883505,48105.0
11757.G441424222,48105.0
11757.G440305259,48098.0
11757.G440606407,48064.0
11757.G440104580,48051.0
11757.G441802352,48035.0
11757.G445302411,48027.0
11757.G440205352,48017.0
11757.G441303535,48017.0
11757.G445302458,48008.0
11757.G445302386,47999.0
11757.G445302412,47998.0
11757.G440282084,47977.0
11757.G441802398,47963.0
11757.G445302194,47931.0
11757.G440606379,47906.0
11757.G440305462,47877.0
11757.G440305460,47863.0
11757.G441424526,47858.0
11757.G441284328,47857.0
11757.G441802432,47856.0
11757.G445302200,47831.0
11757.G440883130,47796.0
11757.G440104044,47783.0
11757.G440305392,47776.0
11757.G441303527,47763.0
11757.G445302635,47762.0
11757.G441303590,47758.0
11757.G440305685,47738.0
11757.G440305411,47728.0
11757.G441284517,47727.0
11757.G440205623,47689.0
11757.G440205355,47688.0
11757.G445224557,47685.0
11757.G441303439,47684.0
11757.G440104132,47671.0
11757.G440104575,47665.0
11757.G440104562,47650.0
11757.G441502079,47647.0
11757.G441802412,47634.0
11757.G440883511,47626.0
11757.G441502538,47621.0
11757.G445302307,47616.0
11757.G445302642,47615.0
11757.G440606580,47592.0
11757.G441424519,47583.0
11757.G440282053,47557.0
11757.G445302384,47548.0
11757.G445224188,47543.0
11757.G440883066,47528.0
11757.G441502548,47520.0
11757.G440981196,47515.0
11757.G441802553,47511.0
11757.G441303534,47507.0
11757.G440305516,47507.0
11757.G441284562,47502.0
11757.G440282217,47498.0
11757.G445224127,47488.0
11757.G440606615,47486.0
11757.G441284019,47478.0
11757.G441502057,47462.0
11757.G440981225,47459.0
11757.G440883207,47459.0
11757.G440205556,47372.0
11757.G440883591,47369.0
11757.G441284626,47360.0
11757.G440282500,47318.0
11757.G440282184,47304.0
11757.G445302406,47299.0
11757.G441802409,47281.0
11757.G441802007,47259.0
11757.G441284651,47254.0
11757.G445224357,47253.0
11757.G440305737,47240.0
11757.G440205492,47222.0
11757.G441802635,47222.0
11757.G440205359,47208.0
11757.G440305371,47173.0
11757.G440305213,47171.0
11757.G445302652,47156.0
11757.G445224247,47151.0
11757.G441303076,47125.0
11757.G440104241,47114.0
11757.G441802401,47111.0
11757.G440305125,47099.0
11757.G440305372,47094.0
11757.G441284524,47090.0
11757.G441802377,47089.0
11757.G441284226,47084.0
11757.G441284429,47072.0
11757.G445302429,47071.0
11757.G445302198,47057.0
11757.G441303050,47055.0
11757.G441502476,47046.0
11757.G440981137,47045.0
11757.G445224090,47020.0
11757.G440205271,47015.0
11757.G440305709,47011.0
11757.G441802427,46989.0
11757.G441424153,46978.0
11757.G440606313,46974.0
11757.G440883481,46973.0
11757.G440981242,46946.0
11757.G440305604,46899.0
11757.G440205484,46884.0
11757.G445302649,46867.0
11757.G445224408,46857.0
11757.G441284374,46856.0
11757.G440606396,46849.0
11757.G445224619,46847.0
11757.G441802629,46845.0
11757.G440205588,46841.0
11757.G445302087,46839.0
11757.G440883454,46826.0
11757.G441802548,46804.0
11757.G440305157,46795.0
11757.G440205034,46795.0
11757.G445224320,46785.0
11757.G440305298,46783.0
11757.G441502491,46770.0
11757.G440205048,46762.0
11757.G441424271,46761.0
11757.G441802450,46751.0
11757.G440104101,46739.0
11757.G441284502,46732.0
11757.G440883572,46723.0
11757.G440104194,46721.0
11757.G441802478,46707.0
11757.G441802348,46704.0
11757.G440883135,46682.0
11757.G440305132,46675.0
11757.G440305115,46674.0
11757.G445224109,46671.0
11757.G445224528,46668.0
11757.G441424227,46649.0
11757.G440981317,46618.0
11757.G441802192,46603.0
11757.G445302619,46602.0
11757.G440282119,46600.0
11757.G441424557,46600.0
11757.G441802392,46591.0
11757.G441802413,46590.0
11757.G445302483,46587.0
11757.G440606551,46586.0
11757.G440205614,46584.0
11757.G440305596,46579.0
11757.G440305098,46569.0
11757.G440104338,46559.0
11757.G445302310,46552.0
